Algorithm,ProofType,TotalCoinsMined,TotalCoinSupply
SHA-256,PoS,8999999990.0,9000000000
X11,PoW,175215859.0,350000000
NeoScrypt,PoW,6375259.04,45000000
Ethash,PoW,12756367.0,280000000
NeoScrypt,PoW,5832306.875,31800000
X11,PoW/PoS,38198594.8342105,144000000
DPoS,DPoS,288090567.493887,500000000
NIST5,PoW/PoS,28399150208.0,30000000000
X13,PoW/PoS,183534024.88980702,210000000
Multiple,PoW,481730566.566176,660000000
Scrypt,PoW/PoS,110976977.29338,210000000
CryptoNight,PoW,19281821413.4924,85000000000
CryptoNight,PoW,4500000.0,12500000
Ethash,PoW,520891780.0,10000000000
NIST5,PoS,13247178.880728599,27716121
Quark,PoS,16955764.902064003,20000000
X11,PoW,80316207.0,550000000
CryptoNight-V7,PoW,441250233.377,999481516
Scrypt,PoW/PoS,4911500269.41,50000000000
Scrypt,PoW/PoS,8419402.321,150000000
Scrypt,PoW,3964201248.87125,4999999999
X11,PoW/PoS,45174214.1078625,50000000
BLAKE256,PoW,30089671530.5228, 90000000000
X11,PoW,4229040.50393462,19800000
NeoScrypt,PoW,7847417.33355824,21000000
Quark,PoS,27299680.0,120000000
NeoScrypt,PoW,299797953.0,500000000
Scrypt,PoW,45483049.3398182,64000000
Scrypt,PoW/PoS,591022748.0,900000000
Scrypt,PoW/PoS,2504486.227718,4000000
X11,PoS,4407252.0,21000000
X11,PoW,8478104.33969947,23000000
SHA-256,PoW,20166000.0,20166000
C11,PoW,11916588.09471,23000000
POS 3.0,PoS,20445861.534425102,25000000
Ethash,PoS,1618033.0,1618033
Scrypt,PoW and PoS,9399342.52839847,30000000
CryptoNight,PoW,53139835213.77,1000000000000
SkunkHash,PoW,4818338.98949984,16600000
Scrypt,PoW/PoS,234846265.78215697,232000000
CryptoNight,PoW,133932467.77410801,336000000
Scrypt,PoW,10000000000.0,10000000000
Dagger,PoW,107325266.02778299,100000000
Lyra2REv2,PoW,643795911.540095,1100000000
X13,PoS,230298925.0,800000000
Proof-of-BibleHash,POBh,1772091549.88818,5200000000
SHA-256 + Hive,PoW + Hive,638382332.208514,840000000
Scrypt,PoW,12446100.00278,40000000
Scrypt,PoW,14491014421.0,18406979840
X11,PoW,211297638.500483,500000000
C11,PoW/PoS,11251342.1879021,19340594
Proof-of-Authority,PoA,204479039.0,252460800
X11,PoW/PoS,2167827.1,25000000
XEVAN,PoW/PoS,419275.38,60000000
Scrypt,PoS,25570013.1348022,124000000
VBFT,PoS,650848625.0,1000000000
Ethash,PoW,247612453.0,6500000000
CryptoNight,PoW,80049082.9057215,1000000000
Scrypt,PoW,4070212.1493015997,21000000
IMesh,PoW,25000000.0,25000000
NIST5,PoW/PoS,13787854.6277781,50000000
Scrypt,PoW/PoS,845637.81347436,3000000
Scrypt,PoW/PoS,1182153.5,5000000
Equihash,PoW,71355477.0,70000000
Scrypt,PoS,267297676.3125,500000000
Lyra2Z,PoW,27340501.6514783,300000000
Green Protocol,PoS,9803691.3618195,21000000
PoS,PoS,21876586.8530324,88000000
Scrypt,PoW/PoS,9880502.37178894,30000000
Semux BFT consensus,DPoS,1231147.0,100000000
X11,PoW,31801461.1867843,100000000
Quark,PoW/PoS,139739596.506702,200000000
PoS,PoS,11075254.0929996,80000000
CryptoNight,PoW,16016864.0,18400000
X16R,PoS,4403800.0,45000000
Scrypt,PoW/PoS,1404157529.46026,5121951220
NIST5,PoW,21069346.252259802,21000000
Lyra2RE,PoW,5097689.71077377,26280000
XEVAN,PoS/PoW,10904963.0923455,21000000
Tribus,PoW,795447.0,18000000
Scrypt,PoS,38706809.466534995,26000000
Lyra2Z,PoW,6986399.70430446,10500000
CryptoNight,PoW,84300.0,600000518
CryptoNight Heavy,PoW,19153632.0,150000000
CryptoNight,PoW,41294520017.0,184000000000
Scrypt,PoW/PoS,10200000000.0,10200000000
Scrypt,PoS,7630000.0154,44000000
Jump Consistent Hash,PoW,135862416.039898,168000000
SHA-256D,PoW/PoS,33238183.7225834,100000000
CryptoNight,PoW,560085952.404637,1000000000
Scrypt,PoW/PoS,21599339.6728,84000000
X15,PoS,30284196.369129,90000000
Scrypt,HPoW,77872059787.8998,92000000000
Quark,PoS,2716264.95302831,650000000 
SHA-256,PoS,57811001.000889,100262205
DPoS,PoS,18194936.0,18081806 
X16R,PoW,8125865.02097646,22075700
HMQ1725,PoW,8645406.16776286,21000000
X11,PoW,4993030.69736615,21000000
X16R,PoW/PoS,36923120.6205934,82546564
Quark,PoS,7082392.24744494,21000000
Quark,PoW/PoS,5919489.76813523,5151000
Scrypt,PoS,1042012.45227735,16880000000
Lyra2REv2,PoW/PoS,13332617.9413708,52500000
Quark,PoS,66053877.6256106,100000000
Scrypt,PoW,1416663.06600024,22105263
Scrypt,PoW/PoS,5403802.49590733,1000000000
CryptoNight-V7,PoW,15580199.3087496,1750000000
Cryptonight-GPU,PoW,4890897.0,88188888
XEVAN,PoW,14746153.0962884,210000000
CryptoNight Heavy,PoW,99553110528.8022,184470000000
X11,PoS,19269509.94,55000000
X11,PoW/PoS,30771125.976086702,50000000
Scrypt,PoS,107763867.917675,260000000
PoS,PoS,9327131.59708692,210000000
SHA-256,PoW,2100000000.0,2100000000
Keccak,PoW/PoS,4672513.84432375,366000000
X11,PoS,4504639.0,100000000
X11,PoW,5015881.37315389,25000000
Scrypt,PoW/PoS,1059954080.4343901,18000000000
SHA-512,Zero-Knowledge Proof,1000000000.0,1000000000
X16R,PoW,9753753.61515394,100000000
ECC 256K1,DPOS,1000000000.0,1000000000
